,Gmt time,Open,High,Low,Close,Volume,avg_price_in_interval
0,28.01.2021 14:30:00.000,139.522,139.963,139.223,139.732,1364999.972500002,139.59300000000002
1,28.01.2021 14:30:10.000,139.702,139.963,139.072,139.532,997499.9793999998,139.51749999999998
2,28.01.2021 14:30:20.000,139.532,139.843,139.432,139.432,1139999.9768000003,139.6375
3,28.01.2021 14:30:30.000,139.383,139.483,139.272,139.482,839999.9826999997,139.3775
4,28.01.2021 14:30:40.000,139.482,139.683,139.472,139.682,719999.9852999997,139.5775
5,28.01.2021 14:30:50.000,139.682,140.003,139.682,140.002,847499.9825999998,139.84249999999997
6,28.01.2021 14:31:00.000,139.972,139.972,139.712,139.742,884999.9815999997,139.84199999999998
7,28.01.2021 14:31:10.000,139.733,139.733,139.512,139.562,914999.9813999996,139.6225
8,28.01.2021 14:31:20.000,139.563,139.683,139.453,139.472,839999.9826999997,139.56799999999998
9,28.01.2021 14:31:30.000,139.472,139.493,139.432,139.442,952499.9805999995,139.46249999999998
10,28.01.2021 14:31:40.000,139.442,139.443,139.232,139.412,914999.9813999992,139.3375
11,28.01.2021 14:31:50.000,139.382,139.423,139.033,139.072,1177499.9761000008,139.228
12,28.01.2021 14:32:00.000,139.072,139.413,139.052,139.292,1094999.9776000003,139.23250000000002
13,28.01.2021 14:32:10.000,139.312,139.373,138.973,139.333,1319999.9733000016,139.173
14,28.01.2021 14:32:20.000,139.302,139.352,138.862,139.263,1327499.972700002,139.107
15,28.01.2021 14:32:30.000,139.233,139.393,139.193,139.282,847499.9826999997,139.293
16,28.01.2021 14:32:40.000,139.282,139.593,139.273,139.403,1034999.9789,139.433
17,28.01.2021 14:32:50.000,139.362,139.403,139.193,139.223,974999.9797999996,139.298
18,28.01.2021 14:33:00.000,139.223,139.353,139.153,139.323,959999.9803999997,139.253
19,28.01.2021 14:33:10.000,139.292,139.353,139.052,139.082,1079999.9777000002,139.2025
20,28.01.2021 14:33:20.000,139.083,139.253,139.002,139.073,1117499.9773000004,139.1275
21,28.01.2021 14:33:30.000,139.073,139.543,139.073,139.482,839999.9827999996,139.308
22,28.01.2021 14:33:40.000,139.522,139.573,139.402,139.492,944999.9804999996,139.4875
23,28.01.2021 14:33:50.000,139.483,139.683,139.442,139.662,839999.9826999997,139.5625
24,28.01.2021 14:34:00.000,139.673,139.692,139.462,139.632,832499.9827999998,139.577
25,28.01.2021 14:34:10.000,139.612,139.672,139.392,139.502,749999.9848999997,139.53199999999998
26,28.01.2021 14:34:20.000,139.482,139.632,139.462,139.552,712499.9853999997,139.547
27,28.01.2021 14:34:30.000,139.563,139.612,139.452,139.462,742499.9844999998,139.53199999999998
