,Gmt time,Open,High,Low,Close,Volume,avg_price_in_interval
0,19.11.2020 14:30:00.000,117.802,117.802,117.333,117.782,1792499.963799999,117.5675
1,19.11.2020 14:30:10.000,117.793,117.793,117.663,117.783,1717499.9649999992,117.72800000000001
2,19.11.2020 14:30:20.000,117.793,118.022,117.793,118.002,1152499.9765999997,117.9075
3,19.11.2020 14:30:30.000,117.992,118.103,117.952,117.962,1547499.9681999995,118.0275
4,19.11.2020 14:30:40.000,117.943,118.022,117.872,117.973,1409999.9711999996,117.947
5,19.11.2020 14:30:50.000,117.973,118.003,117.872,117.912,1084999.9779999994,117.9375
6,19.11.2020 14:31:00.000,117.893,117.893,117.592,117.632,1864999.9619999996,117.7425
7,19.11.2020 14:31:10.000,117.592,117.633,117.502,117.613,1709999.965199999,117.5675
8,19.11.2020 14:31:20.000,117.612,117.642,117.432,117.452,1472499.9701999992,117.537
9,19.11.2020 14:31:30.000,117.453,117.613,117.443,117.613,1239999.9747999995,117.52799999999999
10,19.11.2020 14:31:40.000,117.612,117.713,117.593,117.643,1529999.9687999992,117.65299999999999
11,19.11.2020 14:31:50.000,117.692,117.693,117.462,117.482,1594999.9675999994,117.5775
12,19.11.2020 14:32:00.000,117.483,117.632,117.462,117.623,1422499.9709999994,117.547
13,19.11.2020 14:32:10.000,117.623,117.663,117.433,117.603,1142499.9761999997,117.548
14,19.11.2020 14:32:20.000,117.602,117.633,117.562,117.602,957499.9805999995,117.5975
15,19.11.2020 14:32:30.000,117.603,117.633,117.582,117.632,589999.9879999997,117.60749999999999
16,19.11.2020 14:32:40.000,117.613,117.613,117.572,117.593,629999.9871999997,117.5925
17,19.11.2020 14:32:50.000,117.593,117.713,117.542,117.592,1327499.9729999995,117.6275
18,19.11.2020 14:33:00.000,117.602,117.602,117.372,117.402,1249999.9743999997,117.487
19,19.11.2020 14:33:10.000,117.413,117.413,117.182,117.263,1427499.9709999994,117.2975
20,19.11.2020 14:33:20.000,117.272,117.273,117.173,117.263,1392499.9717999992,117.223
21,19.11.2020 14:33:30.000,117.232,117.273,117.113,117.243,1314999.9731999992,117.193
22,19.11.2020 14:33:40.000,117.272,117.333,117.152,117.232,1454999.9703999993,117.2425
23,19.11.2020 14:33:50.000,117.233,117.293,117.173,117.262,957499.9801999994,117.233
24,19.11.2020 14:34:00.000,117.262,117.323,117.062,117.303,1722499.964999999,117.1925
25,19.11.2020 14:34:10.000,117.302,117.393,117.173,117.213,1489999.9695999995,117.283
26,19.11.2020 14:34:20.000,117.212,117.243,116.863,116.882,1412499.9713999992,117.053
27,19.11.2020 14:34:30.000,116.892,117.133,116.873,117.032,1329999.9727999996,117.003
28,19.11.2020 14:34:40.000,117.053,117.113,117.002,117.072,1027499.9789999996,117.0575
29,19.11.2020 14:34:50.000,117.063,117.132,116.972,117.102,1064999.9779999997,117.05199999999999
30,19.11.2020 14:35:00.000,117.102,117.183,116.982,117.083,1802499.963399999,117.08250000000001
31,19.11.2020 14:35:10.000,117.093,117.113,116.952,117.043,1742499.964999999,117.0325
32,19.11.2020 14:35:20.000,117.033,117.113,116.863,116.993,1639999.9667999991,116.988
33,19.11.2020 14:35:30.000,116.993,117.073,116.952,116.972,1379999.9719999994,117.01249999999999
34,19.11.2020 14:35:40.000,116.973,117.043,116.922,117.042,1472499.9701999992,116.9825
35,19.11.2020 14:35:50.000,117.042,117.133,117.022,117.072,1447499.9702,117.0775
36,19.11.2020 14:36:00.000,117.072,117.143,117.052,117.142,1362499.9721999993,117.0975
37,19.11.2020 14:36:10.000,117.143,117.303,117.143,117.303,1057499.978599999,117.223
38,19.11.2020 14:36:20.000,117.323,117.343,117.223,117.262,1094999.9775999994,117.283
39,19.11.2020 14:36:30.000,117.262,117.413,117.182,117.392,1137499.9769999995,117.2975
40,19.11.2020 14:36:40.000,117.383,117.442,117.342,117.383,1292499.973799999,117.392
41,19.11.2020 14:36:50.000,117.372,117.393,117.263,117.363,1167499.9761999997,117.328
42,19.11.2020 14:37:00.000,117.382,117.383,117.222,117.283,1162499.9765999997,117.3025
43,19.11.2020 14:37:10.000,117.292,117.343,117.282,117.282,657499.9865999997,117.3125
44,19.11.2020 14:37:20.000,117.273,117.322,117.242,117.272,834999.9827999996,117.28200000000001
45,19.11.2020 14:37:30.000,117.273,117.382,117.273,117.363,739999.9847999996,117.3275
46,19.11.2020 14:37:40.000,117.382,117.472,117.372,117.393,624999.9871999997,117.422
47,19.11.2020 14:37:50.000,117.402,117.443,117.342,117.382,707499.9853999999,117.3925
48,19.11.2020 14:38:00.000,117.383,117.443,117.362,117.443,1329999.9731999994,117.4025
49,19.11.2020 14:38:10.000,117.433,117.463,117.402,117.442,992499.9797999996,117.4325
50,19.11.2020 14:38:20.000,117.443,117.443,117.362,117.362,679999.9859999998,117.4025
51,19.11.2020 14:38:30.000,117.352,117.362,117.253,117.253,1122499.9769999995,117.3075
52,19.11.2020 14:38:40.000,117.262,117.282,117.172,117.242,1109999.9771999998,117.227
53,19.11.2020 14:38:50.000,117.222,117.233,117.092,117.123,1097499.9777999995,117.1625
54,19.11.2020 14:39:00.000,117.113,117.113,116.972,117.002,1339999.9727999994,117.04249999999999
55,19.11.2020 14:39:10.000,117.003,117.053,116.992,117.023,809999.9835999997,117.02250000000001
56,19.11.2020 14:39:20.000,117.033,117.072,117.012,117.022,1044999.9787999996,117.042
57,19.11.2020 14:39:30.000,117.023,117.063,116.972,117.002,749999.9847999996,117.0175
58,19.11.2020 14:39:40.000,117.013,117.143,117.012,117.062,1324999.9731999992,117.0775
59,19.11.2020 14:39:50.000,117.103,117.122,116.983,117.073,1277499.9737999996,117.05250000000001
60,19.11.2020 14:40:00.000,117.063,117.063,116.912,116.963,1452499.9705999992,116.98750000000001
61,19.11.2020 14:40:10.000,116.962,117.002,116.912,117.002,964999.9803999994,116.957
62,19.11.2020 14:40:20.000,116.982,117.052,116.932,117.003,1279999.9739999997,116.992
63,19.11.2020 14:40:30.000,117.013,117.023,116.922,116.982,1129999.9771999994,116.9725
64,19.11.2020 14:40:40.000,116.962,117.042,116.903,116.903,1342499.9725999995,116.9725
65,19.11.2020 14:40:50.000,116.883,116.953,116.883,116.902,972499.9801999996,116.918
66,19.11.2020 14:41:00.000,116.913,116.913,116.822,116.903,1492499.9697999991,116.8675
67,19.11.2020 14:41:10.000,116.912,116.933,116.832,116.932,1124999.9771999994,116.8825
68,19.11.2020 14:41:20.000,116.923,116.963,116.902,116.963,1052499.9785999998,116.9325
69,19.11.2020 14:41:30.000,116.952,117.063,116.952,117.042,1049999.9787999997,117.0075
70,19.11.2020 14:41:40.000,117.063,117.112,117.012,117.053,1027499.9789999996,117.062
71,19.11.2020 14:41:50.000,117.042,117.073,116.992,117.032,549999.9887999997,117.0325
72,19.11.2020 14:42:00.000,117.033,117.033,116.922,117.022,1259999.9743999992,116.97749999999999
73,19.11.2020 14:42:10.000,117.033,117.122,117.022,117.112,724999.9851999998,117.072
74,19.11.2020 14:42:20.000,117.103,117.192,117.103,117.152,859999.9823999996,117.1475
75,19.11.2020 14:42:30.000,117.143,117.183,117.083,117.132,1084999.9779999994,117.13300000000001
76,19.11.2020 14:42:40.000,117.132,117.172,117.093,117.112,697499.9857999997,117.1325
77,19.11.2020 14:42:50.000,117.122,117.163,117.102,117.113,922499.9813999996,117.1325
78,19.11.2020 14:43:00.000,117.103,117.133,117.092,117.112,702499.9857999996,117.1125
79,19.11.2020 14:43:10.000,117.122,117.193,117.092,117.192,772499.9841999996,117.1425
80,19.11.2020 14:43:20.000,117.182,117.233,117.172,117.213,949999.9807999994,117.2025
81,19.11.2020 14:43:30.000,117.192,117.283,117.192,117.262,757499.9845999997,117.2375
82,19.11.2020 14:43:40.000,117.262,117.323,117.222,117.222,1097499.9777999995,117.2725
83,19.11.2020 14:43:50.000,117.213,117.213,117.172,117.182,589999.9879999998,117.1925
84,19.11.2020 14:44:00.000,117.162,117.203,117.153,117.193,834999.9831999994,117.178
85,19.11.2020 14:44:10.000,117.202,117.222,117.152,117.192,722499.9853999997,117.187
86,19.11.2020 14:44:20.000,117.183,117.233,117.172,117.223,624999.9871999997,117.2025
87,19.11.2020 14:44:30.000,117.232,117.243,117.192,117.213,657499.9865999997,117.2175
88,19.11.2020 14:44:40.000,117.223,117.303,117.202,117.273,977499.9801999996,117.2525
89,19.11.2020 14:44:50.000,117.273,117.372,117.273,117.343,849999.9827999995,117.32249999999999
90,19.11.2020 14:45:00.000,117.343,117.353,117.272,117.283,924999.9811999996,117.3125
91,19.11.2020 14:45:10.000,117.283,117.302,117.252,117.302,749999.9847999996,117.277
92,19.11.2020 14:45:20.000,117.302,117.343,117.282,117.322,1097499.9777999995,117.3125
93,19.11.2020 14:45:30.000,117.322,117.333,117.283,117.312,829999.9831999996,117.30799999999999
94,19.11.2020 14:45:40.000,117.313,117.323,117.292,117.293,782499.9841999996,117.3075
95,19.11.2020 14:45:50.000,117.282,117.292,117.192,117.223,864999.9823999995,117.24199999999999
96,19.11.2020 14:46:00.000,117.223,117.293,117.193,117.263,1177499.9759999998,117.243
97,19.11.2020 14:46:10.000,117.273,117.343,117.263,117.342,847499.9829999995,117.303
98,19.11.2020 14:46:20.000,117.343,117.443,117.342,117.442,1214999.9755999993,117.3925
99,19.11.2020 14:46:30.000,117.443,117.483,117.413,117.452,897499.9817999996,117.44800000000001
100,19.11.2020 14:46:40.000,117.453,117.463,117.342,117.353,882499.9821999995,117.4025
101,19.11.2020 14:46:50.000,117.353,117.413,117.353,117.412,842499.9829999995,117.383
102,19.11.2020 14:47:00.000,117.413,117.443,117.342,117.342,884999.9819999995,117.3925
103,19.11.2020 14:47:10.000,117.342,117.393,117.302,117.372,999999.9795999996,117.3475
104,19.11.2020 14:47:20.000,117.373,117.383,117.332,117.342,767499.9845999996,117.35749999999999
105,19.11.2020 14:47:30.000,117.353,117.353,117.293,117.313,949999.9807999994,117.32300000000001
106,19.11.2020 14:47:40.000,117.312,117.343,117.292,117.342,792499.9837999997,117.3175
107,19.11.2020 14:47:50.000,117.343,117.353,117.293,117.332,712499.9853999998,117.32300000000001
