,Gmt time,Open,High,Low,Close,Volume,avg_price_in_interval
0,07.04.2020 13:30:00.000,271.512,271.512,270.492,270.492,91905.99819999996,271.002
1,07.04.2020 13:30:10.000,270.492,270.492,270.152,270.222,100954.99799999998,270.322
2,07.04.2020 13:30:20.000,270.253,270.492,269.982,269.992,180960.9964,270.237
3,07.04.2020 13:30:30.000,269.992,270.333,269.592,269.592,160957.99679999996,269.9625
4,07.04.2020 13:30:40.000,269.642,269.702,269.563,269.563,20760.9996,269.6325
5,07.04.2020 13:30:50.000,269.582,269.803,269.475,269.475,60194.9988,269.639
6,07.04.2020 13:31:00.000,269.312,269.502,269.052,269.052,181720.9964,269.27700000000004
7,07.04.2020 13:31:10.000,269.052,269.573,269.052,269.462,80379.99839999998,269.3125
8,07.04.2020 13:31:20.000,269.372,269.472,269.343,269.472,40572.9992,269.4075
9,07.04.2020 13:31:30.000,269.693,269.742,269.403,269.732,130574.99739999998,269.5725
10,07.04.2020 13:31:40.000,269.693,270.042,269.602,269.772,180770.99639999997,269.822
11,07.04.2020 13:31:50.000,269.822,269.873,269.612,269.873,140954.99719999998,269.7425
12,07.04.2020 13:32:00.000,269.593,269.993,269.513,269.682,362485.9928,269.753
13,07.04.2020 13:32:10.000,269.673,269.762,269.452,269.452,180953.9964,269.60699999999997
14,07.04.2020 13:32:20.000,269.443,269.452,269.063,269.273,422676.9915999998,269.2575
15,07.04.2020 13:32:30.000,269.243,269.312,268.81,268.882,362478.99279999983,269.06100000000004
16,07.04.2020 13:32:40.000,268.882,269.002,268.712,268.852,543630.9891999997,268.85699999999997
17,07.04.2020 13:32:50.000,268.822,268.922,268.582,268.772,422675.9915999996,268.752
18,07.04.2020 13:33:00.000,268.732,268.882,268.483,268.532,422298.9915999996,268.6825
19,07.04.2020 13:33:10.000,268.533,268.533,268.222,268.273,302670.9939999999,268.3775
20,07.04.2020 13:33:20.000,268.172,268.182,267.872,267.872,763056.9848,268.02700000000004
21,07.04.2020 13:33:30.000,267.862,267.923,267.412,267.482,322292.9935999999,267.6675
22,07.04.2020 13:33:40.000,267.392,267.573,267.272,267.573,463247.9907999999,267.4225
23,07.04.2020 13:33:50.000,267.552,267.552,267.262,267.322,201339.996,267.40700000000004
24,07.04.2020 13:34:00.000,267.323,267.662,267.323,267.462,424191.99159999983,267.49249999999995
25,07.04.2020 13:34:10.000,267.512,267.823,267.242,267.823,403809.9919999999,267.5325
26,07.04.2020 13:34:20.000,267.693,267.952,267.693,267.742,402864.9919999999,267.8225
27,07.04.2020 13:34:30.000,267.842,267.943,267.712,267.932,302097.994,267.8275
28,07.04.2020 13:34:40.000,267.912,267.913,267.712,267.712,682679.9863999997,267.8125
29,07.04.2020 13:34:50.000,267.712,267.862,267.492,267.612,564006.9887999998,267.677
30,07.04.2020 13:35:00.000,267.602,267.672,267.322,267.442,322103.99359999987,267.497
31,07.04.2020 13:35:10.000,267.472,267.483,267.202,267.433,402675.9919999999,267.3425
32,07.04.2020 13:35:20.000,267.432,267.433,267.042,267.133,464578.9907999998,267.23749999999995
33,07.04.2020 13:35:30.000,267.232,267.402,267.232,267.263,501918.98999999976,267.317
34,07.04.2020 13:35:40.000,267.252,267.322,267.092,267.192,423251.9916,267.207
35,07.04.2020 13:35:50.000,267.182,267.412,267.172,267.322,562678.9887999998,267.29200000000003
36,07.04.2020 13:36:00.000,267.342,267.543,267.332,267.432,583056.9884,267.4375
37,07.04.2020 13:36:10.000,267.422,267.762,267.402,267.762,342490.9931999998,267.582
38,07.04.2020 13:36:20.000,267.772,267.772,267.462,267.622,563639.9887999998,267.61699999999996
39,07.04.2020 13:36:30.000,267.623,267.642,267.472,267.492,463627.9907999999,267.557
40,07.04.2020 13:36:40.000,267.493,267.722,267.472,267.682,563443.9887999998,267.597
41,07.04.2020 13:36:50.000,267.682,267.813,267.652,267.803,523627.9895999997,267.73249999999996
42,07.04.2020 13:37:00.000,267.802,268.003,267.802,267.973,322291.9935999999,267.90250000000003
43,07.04.2020 13:37:10.000,267.832,268.192,267.782,268.112,202481.996,267.98699999999997
44,07.04.2020 13:37:20.000,268.143,268.213,268.092,268.103,523057.9895999999,268.15250000000003
45,07.04.2020 13:37:30.000,268.103,268.283,268.012,268.192,542677.9891999996,268.14750000000004
46,07.04.2020 13:37:40.000,268.142,268.302,268.142,268.202,523443.9895999999,268.222
47,07.04.2020 13:37:50.000,268.203,268.292,268.143,268.162,542678.9891999998,268.2175
48,07.04.2020 13:38:00.000,268.153,268.252,268.023,268.122,683062.9864,268.13750000000005
49,07.04.2020 13:38:10.000,268.112,268.123,267.852,267.912,682483.9863999999,267.98749999999995
50,07.04.2020 13:38:20.000,267.912,267.912,267.682,267.692,562492.9887999998,267.797
51,07.04.2020 13:38:30.000,267.753,267.782,267.572,267.612,521729.9895999996,267.677
52,07.04.2020 13:38:40.000,267.602,267.632,267.422,267.422,524955.9896,267.52700000000004
53,07.04.2020 13:38:50.000,267.422,267.472,267.33,267.343,482298.99039999966,267.40099999999995
54,07.04.2020 13:39:00.000,267.343,267.513,267.172,267.252,483448.9903999996,267.3425
55,07.04.2020 13:39:10.000,267.252,267.253,267.052,267.052,442485.99119999976,267.15250000000003
56,07.04.2020 13:39:20.000,267.033,267.112,266.782,266.913,582686.9883999998,266.947
57,07.04.2020 13:39:30.000,266.912,266.912,266.712,266.762,684768.9863999998,266.812
58,07.04.2020 13:39:40.000,266.763,266.763,266.543,266.722,602309.9879999997,266.653
59,07.04.2020 13:39:50.000,266.722,266.872,266.672,266.792,504013.9900000001,266.77200000000005
60,07.04.2020 13:40:00.000,266.812,267.033,266.732,266.923,563630.9887999997,266.88250000000005
61,07.04.2020 13:40:10.000,266.893,267.143,266.862,267.143,703822.986,267.0025
62,07.04.2020 13:40:20.000,267.123,267.182,266.932,267.102,624390.9875999998,267.057
63,07.04.2020 13:40:30.000,267.122,267.172,266.942,267.072,605719.9879999999,267.057
64,07.04.2020 13:40:40.000,267.082,267.193,267.012,267.033,664202.9868000001,267.10249999999996
65,07.04.2020 13:40:50.000,267.043,267.142,266.912,266.912,602681.9879999999,267.027
66,07.04.2020 13:41:00.000,266.913,266.993,266.862,266.962,562677.9887999997,266.9275
67,07.04.2020 13:41:10.000,266.963,267.042,266.912,266.952,504203.9899999998,266.977
68,07.04.2020 13:41:20.000,266.973,267.022,266.792,266.982,443629.9911999998,266.907
69,07.04.2020 13:41:30.000,266.992,266.992,266.792,266.793,301537.99399999983,266.892
70,07.04.2020 13:41:40.000,266.792,266.793,266.602,266.632,422864.9915999998,266.6975
71,07.04.2020 13:41:50.000,266.612,266.632,266.343,266.393,503061.98999999976,266.4875
72,07.04.2020 13:42:00.000,266.372,266.813,266.332,266.803,725339.9856000002,266.5725
73,07.04.2020 13:42:10.000,266.822,267.282,266.812,267.282,784773.9844,267.047
74,07.04.2020 13:42:20.000,267.273,267.343,267.192,267.242,701917.9859999999,267.26750000000004
75,07.04.2020 13:42:30.000,267.202,267.253,267.112,267.253,744578.9852000003,267.1825
76,07.04.2020 13:42:40.000,267.252,267.303,267.072,267.212,764765.9847999999,267.1875
77,07.04.2020 13:42:50.000,267.192,267.232,267.053,267.212,764764.9848,267.14250000000004
78,07.04.2020 13:43:00.000,267.192,267.472,267.162,267.292,664199.9868,267.317
79,07.04.2020 13:43:10.000,267.292,267.423,267.282,267.372,724198.9855999999,267.35249999999996
80,07.04.2020 13:43:20.000,267.373,267.482,267.312,267.382,664390.9867999996,267.39700000000005
81,07.04.2020 13:43:30.000,267.402,267.503,267.312,267.462,704017.9860000001,267.4075
82,07.04.2020 13:43:40.000,267.462,267.533,267.302,267.402,641355.9871999999,267.4175
83,07.04.2020 13:43:50.000,267.402,267.472,267.352,267.453,564576.9887999999,267.412
84,07.04.2020 13:44:00.000,267.472,267.472,267.332,267.392,584966.9883999999,267.402
85,07.04.2020 13:44:10.000,267.382,267.413,267.192,267.212,652867.9869999996,267.3025
