,Gmt time,Open,High,Low,Close,Volume,avg_price_in_interval
0,26.08.2020 13:30:00.000,505.003,505.063,504.412,504.412,254999.9947999999,504.73749999999995
1,26.08.2020 13:30:10.000,505.063,505.463,504.923,505.462,207499.99579999995,505.193
2,26.08.2020 13:30:20.000,505.422,505.503,505.353,505.462,869999.9823999995,505.428
3,26.08.2020 13:30:30.000,505.503,505.983,505.503,505.982,949999.9807999994,505.743
4,26.08.2020 13:30:40.000,505.982,505.983,505.673,505.982,1012499.9793999994,505.828
5,26.08.2020 13:30:50.000,505.983,506.423,505.983,506.422,1052499.9785999996,506.203
6,26.08.2020 13:31:00.000,506.343,506.422,505.663,505.843,1307499.9733999998,506.0425
7,26.08.2020 13:31:10.000,505.753,505.993,505.362,505.433,942499.9805999998,505.6775
8,26.08.2020 13:31:20.000,505.372,505.453,504.732,504.732,769999.9839999998,505.0925
9,26.08.2020 13:31:30.000,504.773,505.063,504.672,504.782,772499.9841999996,504.8675
10,26.08.2020 13:31:40.000,504.792,504.803,503.603,503.993,1082499.9777999995,504.203
11,26.08.2020 13:31:50.000,504.003,504.272,503.923,504.272,174999.99639999997,504.09749999999997
12,26.08.2020 13:32:00.000,504.403,504.493,504.403,504.482,487499.9901999997,504.448
13,26.08.2020 13:32:10.000,504.573,504.933,504.242,504.433,804999.9835999997,504.5875
14,26.08.2020 13:32:20.000,504.333,504.683,504.252,504.672,529999.9891999997,504.4675
15,26.08.2020 13:32:30.000,504.523,504.582,504.333,504.402,384999.9919999998,504.4575
16,26.08.2020 13:32:40.000,504.303,504.403,504.002,504.233,414999.99119999976,504.2025
17,26.08.2020 13:32:50.000,504.313,504.503,504.182,504.293,709999.9851999996,504.3425
18,26.08.2020 13:33:00.000,504.272,504.692,504.152,504.672,657499.9865999996,504.422
19,26.08.2020 13:33:10.000,504.733,504.863,504.202,504.202,664999.9863999997,504.5325
20,26.08.2020 13:33:20.000,504.142,504.543,503.993,504.003,247499.9945999999,504.26800000000003
21,26.08.2020 13:33:30.000,504.513,504.683,504.492,504.653,289999.9939999999,504.5875
22,26.08.2020 13:33:40.000,504.488,504.503,503.962,504.262,842499.9829999995,504.23249999999996
23,26.08.2020 13:33:50.000,504.142,504.343,504.112,504.202,424999.99119999976,504.2275
24,26.08.2020 13:34:00.000,504.202,504.553,504.022,504.553,642499.9869999996,504.2875
25,26.08.2020 13:34:10.000,504.552,504.863,504.433,504.863,549999.9887999997,504.648
26,26.08.2020 13:34:20.000,504.722,505.202,504.722,505.183,919999.9811999996,504.962
27,26.08.2020 13:34:30.000,505.132,505.173,504.893,505.173,464999.9903999997,505.033
28,26.08.2020 13:34:40.000,505.123,505.123,504.732,505.023,649999.9867999997,504.9275
29,26.08.2020 13:34:50.000,505.023,505.623,504.922,505.623,784999.9839999996,505.27250000000004
